,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
25,2024-02-24,15:00,Matchweek 26,Sat,Home,D,1,1,Everton,1.4,0.3,64,41646.0,Lewis Dunk,4-2-3-1,Tony Harrington,Match Report,,45.0,2.0,29.0,1.0,23.0,7.0,16.3,1.0,0,-0.4,2023,BrightonandHoveAlbion
26,2024-03-02,15:00,Matchweek 27,Sat,Away,L,0,3,Fulham,1.3,1.3,70,24460.0,Lewis Dunk,3-4-3,Simon Hooper,Match Report,,30.0,0.0,22.0,0.0,15.0,5.0,17.6,0.0,0,-1.3,2023,BrightonandHoveAlbion
27,2024-03-10,14:00,Matchweek 28,Sun,Home,W,1,0,Nott'ham Forest,0.4,0.7,63,31505.0,Lewis Dunk,4-2-3-1,Michael Salisbury,Match Report,,19.0,0.0,10.0,0.0,10.0,3.0,17.5,0.0,0,-0.4,2023,BrightonandHoveAlbion
28,2024-03-31,14:00,Matchweek 30,Sun,Away,L,1,2,Liverpool,0.5,2.8,45,60061.0,Lewis Dunk,4-2-3-1,David Coote,Match Report,,15.0,0.0,9.0,0.0,9.0,3.0,17.2,0.0,0,0.5,2023,BrightonandHoveAlbion
29,2024-04-03,19:30,Matchweek 31,Wed,Away,D,0,0,Brentford,1.1,0.6,66,17024.0,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,45.0,0.0,40.0,0.0,24.0,6.0,20.1,0.0,0,-1.1,2023,BrightonandHoveAlbion
30,2024-04-06,17:30,Matchweek 32,Sat,Home,L,0,3,Arsenal,0.5,3.4,54,31677.0,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,14.0,0.0,12.0,0.0,10.0,2.0,19.2,0.0,0,-0.5,2023,BrightonandHoveAlbion
31,2024-04-13,15:00,Matchweek 33,Sat,Away,D,1,1,Burnley,0.9,1.7,56,20687.0,Lewis Dunk,4-2-3-1,Simon Hooper,Match Report,,33.0,0.0,25.0,0.0,20.0,8.0,18.4,1.0,0,-0.9,2023,BrightonandHoveAlbion
32,2024-04-25,20:00,Matchweek 29,Thu,Home,L,0,4,Manchester City,0.6,1.4,36,31596.0,Lewis Dunk,4-2-3-1,Jarred Gillett,Match Report,,11.0,0.0,7.0,0.0,7.0,3.0,16.0,0.0,0,-0.6,2023,BrightonandHoveAlbion
33,2024-04-28,14:00,Matchweek 35,Sun,Away,L,0,3,Bournemouth,0.9,1.9,69,11188.0,Lewis Dunk,4-2-3-1,Paul Tierney,Match Report,,25.0,0.0,20.0,0.0,13.0,1.0,16.5,0.0,0,-0.9,2023,BrightonandHoveAlbion
34,2024-05-05,14:00,Matchweek 36,Sun,Home,W,1,0,Aston Villa,2.5,0.1,52,31596.0,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,,28.0,1.0,21.0,0.0,14.0,7.0,16.3,0.0,0,-0.6,2023,BrightonandHoveAlbion
35,2024-05-11,15:00,Matchweek 37,Sat,Away,D,1,1,Newcastle Utd,1.4,2.2,43,51997.0,Lewis Dunk,4-2-3-1,Darren England,Match Report,,25.0,1.0,18.0,0.0,15.0,4.0,16.2,0.0,0,-0.4,2023,BrightonandHoveAlbion
36,2024-05-15,19:45,Matchweek 34,Wed,Home,L,1,2,Chelsea,1.3,1.5,55,31555.0,Lewis Dunk,4-2-3-1,Michael Salisbury,Match Report,,23.0,2.0,20.0,2.0,12.0,2.0,15.3,0.0,0,-0.3,2023,BrightonandHoveAlbion
37,2024-05-19,16:00,Matchweek 38,Sun,Home,L,0,2,Manchester Utd,1.7,1.3,55,31662.0,Adam Lallana,4-2-3-1,Craig Pawson,Match Report,,31.0,0.0,20.0,0.0,17.0,2.0,14.2,0.0,0,-1.7,2023,BrightonandHoveAlbion
0,2023-08-12,15:00,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,11245.0,Neto,4-2-3-1,Peter Bankes,Match Report,,25.0,2.0,17.0,0.0,14.0,5.0,20.7,1.0,0,-0.3,2023,Bournemouth
1,2023-08-19,15:00,Matchweek 2,Sat,Away,L,1,3,Liverpool,1.3,3.0,36,53145.0,Neto,4-2-3-1,Thomas Bramall,Match Report,,21.0,1.0,11.0,1.0,13.0,5.0,19.7,1.0,0,-0.3,2023,Bournemouth
2,2023-08-26,12:30,Matchweek 3,Sat,Home,L,0,2,Tottenham,0.7,2.1,44,10567.0,Neto,4-2-3-1,Tim Robinson,Match Report,,20.0,0.0,14.0,0.0,11.0,3.0,17.8,0.0,0,-0.7,2023,Bournemouth
3,2023-09-02,15:00,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,16973.0,Neto,4-2-3-1,Robert Madley,Match Report,,22.0,4.0,17.0,2.0,12.0,5.0,15.1,0.0,0,-0.1,2023,Bournemouth
4,2023-09-17,14:00,Matchweek 5,Sun,Home,D,0,0,Chelsea,1.0,1.8,36,10421.0,Neto,4-2-3-1,David Coote,Match Report,,24.0,0.0,19.0,0.0,13.0,4.0,16.7,1.0,0,-1.0,2023,Bournemouth
5,2023-09-24,14:00,Matchweek 6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,31617.0,Neto,4-2-3-1,John Brooks,Match Report,,18.0,0.0,10.0,0.0,12.0,3.0,17.6,1.0,0,-0.1,2023,Bournemouth
6,2023-09-30,15:00,Matchweek 7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,11193.0,Neto,4-2-3-1,Michael Salisbury,Match Report,,15.0,0.0,12.0,0.0,8.0,1.0,14.1,0.0,0,-0.6,2023,Bournemouth
7,2023-10-07,15:00,Matchweek 8,Sat,Away,L,0,3,Everton,0.7,2.4,52,38815.0,Neto,4-2-3-1,David Coote,Match Report,,21.0,0.0,20.0,0.0,11.0,3.0,16.2,0.0,0,-0.7,2023,Bournemouth
8,2023-10-21,15:00,Matchweek 9,Sat,Home,L,1,2,Wolves,0.6,2.4,35,11175.0,Neto,4-2-3-1,Paul Tierney,Match Report,,13.0,2.0,11.0,2.0,7.0,4.0,17.1,0.0,0,0.4,2023,Bournemouth
9,2023-10-28,15:00,Matchweek 10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,11152.0,Lloyd Kelly,4-2-3-1,Samuel Barrott,Match Report,,19.0,1.0,12.0,0.0,13.0,6.0,19.5,2.0,0,0.9,2023,Bournemouth
10,2023-11-04,15:00,Matchweek 11,Sat,Away,L,1,6,Manchester City,0.9,1.9,35,53358.0,Lloyd Kelly,5-4-1,Craig Pawson,Match Report,,8.0,2.0,6.0,2.0,5.0,1.0,11.4,0.0,0,0.1,2023,Bournemouth
11,2023-11-11,17:30,Matchweek 12,Sat,Home,W,2,0,Newcastle Utd,2.4,0.5,48,11201.0,Neto,4-2-3-1,Chris Kavanagh,Match Report,,30.0,3.0,24.0,2.0,19.0,10.0,14.9,0.0,0,-0.4,2023,Bournemouth
12,2023-11-25,15:00,Matchweek 13,Sat,Away,W,3,1,Sheffield Utd,2.9,0.8,54,30208.0,Neto,4-2-3-1,Andy Madley,Match Report,,38.0,5.0,29.0,4.0,23.0,11.0,15.7,0.0,0,0.1,2023,Bournemouth
13,2023-12-03,14:00,Matchweek 14,Sun,Home,D,2,2,Aston Villa,2.0,0.7,38,11191.0,Neto,4-2-3-1,Thomas Bramall,Match Report,,27.0,3.0,20.0,3.0,15.0,7.0,13.6,0.0,0,0.0,2023,Bournemouth
14,2023-12-06,19:30,Matchweek 15,Wed,Away,W,2,0,Crystal Palace,1.8,1.0,41,25078.0,Neto,4-2-3-1,Craig Pawson,Match Report,,20.0,3.0,12.0,2.0,11.0,4.0,11.5,0.0,0,0.2,2023,Bournemouth
15,2023-12-09,15:00,Matchweek 16,Sat,Away,W,3,0,Manchester Utd,1.5,1.1,32,73427.0,Neto,4-2-3-1,Peter Bankes,Match Report,,19.0,6.0,10.0,3.0,10.0,4.0,12.7,0.0,0,1.5,2023,Bournemouth
16,2023-12-23,15:00,Matchweek 18,Sat,Away,W,3,2,Nott'ham Forest,1.6,1.0,66,29188.0,Neto,4-2-3-1,Robert Jones,Match Report,,33.0,6.0,28.0,6.0,18.0,6.0,15.9,1.0,0,1.4,2023,Bournemouth
17,2023-12-26,15:00,Matchweek 19,Tue,Home,W,3,0,Fulham,1.8,0.3,43,11099.0,Neto,4-2-3-1,Tim Robinson,Match Report,,30.0,6.0,23.0,4.0,15.0,3.0,18.5,0.0,1,1.0,2023,Bournemouth
18,2023-12-31,14:00,Matchweek 20,Sun,Away,L,1,3,Tottenham,1.7,2.3,50,61780.0,Neto,4-2-3-1,Simon Hooper,Match Report,,41.0,2.0,28.0,2.0,24.0,4.0,17.2,1.0,0,-0.7,2023,Bournemouth
19,2024-01-21,16:30,Matchweek 21,Sun,Home,L,0,4,Liverpool,1.4,1.5,40,11228.0,Neto,4-2-3-1,Andy Madley,Match Report,,19.0,0.0,14.0,0.0,11.0,1.0,19.8,0.0,0,-1.4,2023,Bournemouth
20,2024-02-01,19:30,Matchweek 22,Thu,Away,D,1,1,West Ham,1.2,1.4,52,62478.0,Neto,4-2-3-1,Tim Robinson,Match Report,,16.0,0.0,15.0,0.0,9.0,4.0,17.2,0.0,0,-0.2,2023,Bournemouth
21,2024-02-04,14:00,Matchweek 23,Sun,Home,D,1,1,Nott'ham Forest,1.3,0.5,45,11200.0,Neto,4-2-3-1,Rebecca Welch,Match Report,,14.0,1.0,8.0,0.0,9.0,1.0,16.7,1.0,0,-0.3,2023,Bournemouth
22,2024-02-10,15:00,Matchweek 24,Sat,Away,L,1,3,Fulham,1.8,1.6,51,24271.0,Neto,4-2-3-1,Darren England,Match Report,,44.0,2.0,29.0,1.0,25.0,4.0,16.7,1.0,0,-0.8,2023,Bournemouth
23,2024-02-17,15:00,Matchweek 25,Sat,Away,D,2,2,Newcastle Utd,2.2,2.2,38,52224.0,Neto,4-2-3-1,Michael Salisbury,Match Report,,22.0,2.0,20.0,2.0,12.0,6.0,20.3,0.0,0,-0.2,2023,Bournemouth
24,2024-02-24,17:30,Matchweek 26,Sat,Home,L,0,1,Manchester City,0.9,1.6,38,11184.0,Neto,4-2-3-1,Jarred Gillett,Match Report,,22.0,0.0,17.0,0.0,13.0,4.0,17.1,0.0,0,-0.9,2023,Bournemouth
25,2024-03-03,13:00,Matchweek 27,Sun,Away,W,2,0,Burnley,1.1,1.5,26,19713.0,Neto,4-2-3-1,David Coote,Match Report,,19.0,4.0,17.0,3.0,10.0,3.0,15.1,1.0,0,0.9,2023,Bournemouth
26,2024-03-09,15:00,Matchweek 28,Sat,Home,D,2,2,Sheffield Utd,3.3,1.2,69,11074.0,Neto,4-2-3-1,Anthony Taylor,Match Report,,61.0,3.0,49.0,2.0,31.0,11.0,16.9,0.0,0,-0.6,2023,Bournemouth
27,2024-03-13,19:30,Matchweek 17,Wed,Home,W,4,3,Luton Town,2.3,2.0,59,11198.0,Neto,4-2-3-1,Samuel Allison,Match Report,,44.0,7.0,33.0,5.0,24.0,9.0,15.5,0.0,0,1.7,2023,Bournemouth
28,2024-03-30,15:00,Matchweek 30,Sat,Home,W,2,1,Everton,1.3,1.0,48,11207.0,Neto,4-2-3-1,Samuel Barrott,Match Report,,19.0,2.0,14.0,2.0,11.0,4.0,15.6,1.0,0,-0.3,2023,Bournemouth
29,2024-04-02,19:45,Matchweek 31,Tue,Home,W,1,0,Crystal Palace,1.1,0.2,50,11058.0,Neto,4-3-3,Graham Scott,Match Report,,20.0,2.0,15.0,2.0,11.0,6.0,18.7,2.0,0,-0.1,2023,Bournemouth
30,2024-04-06,15:00,Matchweek 32,Sat,Away,L,1,2,Luton Town,0.4,1.5,45,11797.0,Neto,4-2-3-1,Andy Madley,Match Report,,15.0,2.0,12.0,2.0,8.0,1.0,19.1,1.0,0,0.6,2023,Bournemouth
31,2024-04-13,17:30,Matchweek 33,Sat,Home,D,2,2,Manchester Utd,1.6,1.2,43,11229.0,Neto,4-2-3-1,Tony Harrington,Match Report,,36.0,3.0,26.0,3.0,20.0,5.0,16.8,1.0,0,0.4,2023,Bournemouth
32,2024-04-21,15:00,Matchweek 34,Sun,Away,L,1,3,Aston Villa,1.8,2.4,44,42189.0,Neto,4-2-3-1,Tim Robinson,Match Report,,26.0,2.0,22.0,1.0,13.0,4.0,16.4,0.0,1,-1.0,2023,Bournemouth
33,2024-04-24,19:45,Matchweek 29,Wed,Away,W,1,0,Wolves,1.9,0.5,37,25541.0,Adam Smith,4-2-3-1,Stuart Attwell,Match Report,,33.0,0.0,18.0,0.0,21.0,6.0,16.7,0.0,0,-0.9,2023,Bournemouth
34,2024-04-28,14:00,Matchweek 35,Sun,Home,W,3,0,Brighton,1.9,0.9,31,11188.0,Adam Smith,4-4-2,Paul Tierney,Match Report,,27.0,5.0,18.0,4.0,15.0,6.0,14.4,1.0,0,1.1,2023,Bournemouth
35,2024-05-04,12:30,Matchweek 36,Sat,Away,L,0,3,Arsenal,0.5,3.3,45,60348.0,Adam Smith,4-3-3,David Coote,Match Report,,11.0,0.0,5.0,0.0,7.0,2.0,20.4,1.0,0,-0.5,2023,Bournemouth
36,2024-05-11,15:00,Matchweek 37,Sat,Home,L,1,2,Brentford,0.7,1.1,48,11154.0,Adam Smith,4-2-3-1,Matt Donohue,Match Report,,23.0,2.0,21.0,2.0,13.0,4.0,17.1,0.0,0,0.3,2023,Bournemouth
37,2024-05-19,16:00,Matchweek 38,Sun,Away,L,1,2,Chelsea,2.2,1.1,39,39724.0,Neto,4-2-3-1,Anthony Taylor,Match Report,,37.0,0.0,24.0,0.0,22.0,5.0,16.8,0.0,0,-2.2,2023,Bournemouth
0,2023-08-12,15:00,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58,39940.0,Tom Cairney,4-3-3,Stuart Attwell,Match Report,,16.0,2.0,13.0,2.0,9.0,2.0,13.2,0.0,0,-0.5,2023,Fulham
1,2023-08-19,15:00,Matchweek 2,Sat,Home,L,0,3,Brentford,0.5,3.7,55,24236.0,Tim Ream,4-3-3,Darren Bond,Match Report,,16.0,0.0,13.0,0.0,10.0,2.0,22.3,1.0,0,-0.5,2023,Fulham
2,2023-08-26,15:00,Matchweek 3,Sat,Away,D,2,2,Arsenal,0.6,3.2,29,59961.0,Bobby Reid,4-3-3,Paul Tierney,Match Report,,9.0,1.0,4.0,0.0,8.0,3.0,17.8,0.0,0,1.4,2023,Fulham
3,2023-09-02,15:00,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32,52899.0,Tom Cairney,4-3-3,Michael Oliver,Match Report,,10.0,1.0,6.0,0.0,6.0,4.0,11.4,0.0,0,-0.4,2023,Fulham
4,2023-09-16,15:00,Matchweek 5,Sat,Home,W,1,0,Luton Town,1.0,1.1,77,24467.0,Tim Ream,4-3-3,Michael Salisbury,Match Report,,25.0,2.0,21.0,2.0,13.0,2.0,19.5,2.0,0,0.0,2023,Fulham
5,2023-09-23,15:00,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49,25072.0,Tim Ream,4-3-3,Paul Tierney,Match Report,,19.0,0.0,15.0,0.0,10.0,5.0,18.7,1.0,0,-0.6,2023,Fulham
6,2023-10-02,20:00,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56,24445.0,Tim Ream,4-3-3,Tim Robinson,Match Report,,19.0,0.0,15.0,0.0,10.0,3.0,13.2,0.0,0,-1.1,2023,Fulham
7,2023-10-07,15:00,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60,24361.0,Tim Ream,4-3-3,Samuel Barrott,Match Report,,31.0,4.0,23.0,4.0,20.0,6.0,20.2,0.0,0,-0.2,2023,Fulham
8,2023-10-23,20:00,Matchweek 9,Mon,Away,L,0,2,Tottenham,1.0,1.5,45,61286.0,Tim Ream,4-2-3-1,Anthony Taylor,Match Report,,18.0,0.0,14.0,0.0,10.0,3.0,17.6,0.0,0,-1.0,2023,Fulham
9,2023-10-29,14:00,Matchweek 10,Sun,Away,D,1,1,Brighton,0.7,1.4,29,31550.0,Tim Ream,4-2-3-1,Michael Salisbury,Match Report,,16.0,2.0,12.0,2.0,10.0,5.0,19.3,0.0,0,0.3,2023,Fulham
10,2023-11-04,12:30,Matchweek 11,Sat,Home,L,0,1,Manchester Utd,1.0,0.7,45,24415.0,Tim Ream,4-2-3-1,John Brooks,Match Report,,30.0,0.0,17.0,0.0,18.0,2.0,18.6,1.0,0,-1.0,2023,Fulham
11,2023-11-12,14:00,Matchweek 12,Sun,Away,L,1,3,Aston Villa,0.9,3.0,49,41608.0,Tim Ream,4-2-3-1,Simon Hooper,Match Report,,17.0,2.0,14.0,2.0,9.0,5.0,19.5,0.0,0,0.1,2023,Fulham
12,2023-11-27,20:00,Matchweek 13,Mon,Home,W,3,2,Wolves,2.9,1.4,60,24366.0,Tom Cairney,4-2-3-1,Michael Salisbury,Match Report,,24.0,6.0,19.0,4.0,10.0,4.0,22.9,0.0,2,-0.3,2023,Fulham
13,2023-12-03,14:00,Matchweek 14,Sun,Away,L,3,4,Liverpool,1.2,2.1,39,50124.0,Tim Ream,4-2-3-1,Stuart Attwell,Match Report,,14.0,5.0,10.0,4.0,9.0,5.0,13.3,0.0,0,1.8,2023,Fulham
14,2023-12-06,19:30,Matchweek 15,Wed,Home,W,5,0,Nott'ham Forest,2.5,0.3,63,24105.0,Tom Cairney,4-2-3-1,Joshua Smith,Match Report,,27.0,10.0,23.0,9.0,14.0,6.0,17.3,1.0,0,2.5,2023,Fulham
15,2023-12-10,14:00,Matchweek 16,Sun,Home,W,5,0,West Ham,2.3,1.3,63,23988.0,Tom Cairney,4-2-3-1,Paul Tierney,Match Report,,27.0,9.0,21.0,6.0,14.0,8.0,17.7,0.0,0,2.7,2023,Fulham
16,2023-12-16,15:00,Matchweek 17,Sat,Away,L,0,3,Newcastle Utd,0.3,3.5,30,52055.0,Tom Cairney,4-2-3-1,Samuel Barrott,Match Report,,10.0,0.0,10.0,0.0,6.0,4.0,23.1,0.0,0,-0.3,2023,Fulham
17,2023-12-23,15:00,Matchweek 18,Sat,Home,L,0,2,Burnley,1.3,0.4,66,23598.0,Tom Cairney,4-2-3-1,Rebecca Welch,Match Report,,34.0,0.0,24.0,0.0,19.0,5.0,16.3,1.0,0,-1.3,2023,Fulham
18,2023-12-26,15:00,Matchweek 19,Tue,Away,L,0,3,Bournemouth,0.3,1.8,57,11099.0,Tom Cairney,4-2-3-1,Tim Robinson,Match Report,,15.0,0.0,10.0,0.0,8.0,3.0,21.6,1.0,0,-0.3,2023,Fulham
19,2023-12-31,14:00,Matchweek 20,Sun,Home,W,2,1,Arsenal,1.2,1.6,40,24444.0,Tom Cairney,4-2-3-1,Joshua Smith,Match Report,,22.0,3.0,11.0,2.0,15.0,4.0,18.2,1.0,0,0.8,2023,Fulham
20,2024-01-13,12:30,Matchweek 21,Sat,Away,L,0,1,Chelsea,0.8,2.2,45,39643.0,Tom Cairney,4-2-3-1,Anthony Taylor,Match Report,,23.0,0.0,15.0,0.0,14.0,4.0,22.0,2.0,0,-0.8,2023,Fulham
21,2024-01-30,19:45,Matchweek 22,Tue,Home,D,0,0,Everton,1.6,1.9,70,24376.0,Tom Cairney,4-2-3-1,Thomas Bramall,Match Report,,42.0,0.0,34.0,0.0,25.0,5.0,17.3,0.0,0,-1.6,2023,Fulham
22,2024-02-03,15:00,Matchweek 23,Sat,Away,D,2,2,Burnley,1.5,1.8,56,20203.0,Tim Ream,4-2-3-1,Darren Bond,Match Report,,27.0,3.0,18.0,2.0,15.0,7.0,13.2,0.0,0,0.5,2023,Fulham
23,2024-02-10,15:00,Matchweek 24,Sat,Home,W,3,1,Bournemouth,1.6,1.8,49,24271.0,Tom Cairney,4-2-3-1,Darren England,Match Report,,14.0,6.0,12.0,6.0,7.0,6.0,11.4,0.0,0,1.4,2023,Fulham
24,2024-02-17,15:00,Matchweek 25,Sat,Home,L,1,2,Aston Villa,1.5,1.5,52,24401.0,Tom Cairney,4-2-3-1,Lewis Smith,Match Report,,26.0,2.0,20.0,2.0,15.0,4.0,14.7,0.0,0,-0.5,2023,Fulham
25,2024-02-24,15:00,Matchweek 26,Sat,Away,W,2,1,Manchester Utd,1.2,1.7,43,73487.0,Harrison Reed,4-2-3-1,Michael Oliver,Match Report,,31.0,3.0,22.0,1.0,17.0,5.0,17.1,0.0,0,0.8,2023,Fulham
26,2024-03-02,15:00,Matchweek 27,Sat,Home,W,3,0,Brighton,1.3,1.3,30,24460.0,Harrison Reed,4-2-3-1,Simon Hooper,Match Report,,20.0,4.0,15.0,3.0,12.0,5.0,14.6,0.0,0,1.7,2023,Fulham
27,2024-03-09,15:00,Matchweek 28,Sat,Away,L,1,2,Wolves,2.6,0.8,52,30860.0,Harrison Reed,4-2-3-1,Tony Harrington,Match Report,,37.0,2.0,28.0,2.0,23.0,6.0,14.1,0.0,0,-1.6,2023,Fulham
28,2024-03-16,17:30,Matchweek 29,Sat,Home,W,3,0,Tottenham,2.6,2.4,43,24410.0,Bernd Leno,4-2-3-1,Robert Jones,Match Report,,28.0,5.0,20.0,4.0,16.0,7.0,12.7,0.0,0,0.4,2023,Fulham
29,2024-03-30,15:00,Matchweek 30,Sat,Away,D,3,3,Sheffield Utd,1.3,1.9,73,30010.0,Bernd Leno,4-2-3-1,Tim Robinson,Match Report,,44.0,6.0,26.0,4.0,24.0,9.0,17.6,0.0,0,1.7,2023,Fulham
30,2024-04-02,19:30,Matchweek 31,Tue,Away,L,1,3,Nott'ham Forest,1.5,1.5,66,28997.0,Bernd Leno,4-2-3-1,Michael Oliver,Match Report,,33.0,2.0,27.0,1.0,18.0,3.0,12.3,0.0,0,-0.5,2023,Fulham
31,2024-04-06,15:00,Matchweek 32,Sat,Home,L,0,1,Newcastle Utd,1.2,1.0,66,24418.0,Tom Cairney,4-2-3-1,Samuel Allison,Match Report,,26.0,0.0,22.0,0.0,14.0,4.0,17.6,0.0,0,-1.2,2023,Fulham
32,2024-04-14,14:00,Matchweek 33,Sun,Away,W,2,0,West Ham,3.2,0.9,42,62459.0,Bernd Leno,4-2-3-1,Stuart Attwell,Match Report,,32.0,4.0,25.0,3.0,18.0,10.0,15.1,0.0,0,-1.2,2023,Fulham
33,2024-04-21,16:30,Matchweek 34,Sun,Home,L,1,3,Liverpool,0.8,1.0,40,24414.0,Bobby Reid,4-2-3-1,Craig Pawson,Match Report,,19.0,1.0,13.0,0.0,12.0,5.0,17.1,1.0,0,0.2,2023,Fulham
34,2024-04-27,15:00,Matchweek 35,Sat,Home,D,1,1,Crystal Palace,1.1,1.0,53,24142.0,Harrison Reed,4-2-3-1,Stuart Attwell,Match Report,,16.0,2.0,14.0,2.0,9.0,2.0,14.9,0.0,0,-0.1,2023,Fulham
35,2024-05-04,15:00,Matchweek 36,Sat,Away,D,0,0,Brentford,1.3,0.6,46,17090.0,Bernd Leno,4-2-3-1,Graham Scott,Match Report,,28.0,0.0,21.0,0.0,15.0,3.0,17.4,0.0,0,-1.3,2023,Fulham
36,2024-05-11,12:30,Matchweek 37,Sat,Home,L,0,4,Manchester City,0.1,3.2,36,24418.0,Bobby Reid,4-2-3-1,Anthony Taylor,Match Report,,2.0,0.0,2.0,0.0,1.0,1.0,9.6,0.0,0,-0.1,2023,Fulham
37,2024-05-19,16:00,Matchweek 38,Sun,Away,W,4,2,Luton Town,1.1,2.0,59,12027.0,Tim Ream,4-2-3-1,Matt Donohue,Match Report,,30.0,8.0,23.0,6.0,16.0,8.0,21.6,2.0,0,2.9,2023,Fulham
0,2023-08-14,20:00,Matchweek 1,Mon,Away,L,0,1,Manchester Utd,2.2,2.2,49,73358.0,Max Kilman,4-4-2,Simon Hooper,Match Report,,42.0,0.0,26.0,0.0,23.0,6.0,15.3,0.0,0,-2.2,2023,WolverhamptonWanderers
1,2023-08-19,15:00,Matchweek 2,Sat,Home,L,1,4,Brighton,2.1,2.2,47,31317.0,Max Kilman,4-4-1-1,Andy Madley,Match Report,,28.0,2.0,17.0,0.0,16.0,5.0,16.1,0.0,0,-1.1,2023,WolverhamptonWanderers
2,2023-08-26,15:00,Matchweek 3,Sat,Away,W,1,0,Everton,1.1,1.3,53,38851.0,Max Kilman,4-4-1-1,Craig Pawson,Match Report,,19.0,2.0,15.0,2.0,11.0,2.0,17.8,1.0,0,-0.1,2023,WolverhamptonWanderers
3,2023-09-03,14:00,Matchweek 4,Sun,Away,L,2,3,Crystal Palace,1.2,2.1,57,24741.0,Max Kilman,4-4-2,Robert Jones,Match Report,,23.0,4.0,19.0,2.0,12.0,4.0,16.2,0.0,0,0.8,2023,WolverhamptonWanderers
4,2023-09-16,12:30,Matchweek 5,Sat,Home,L,1,3,Liverpool,0.6,2.5,35,31257.0,Max Kilman,4-2-3-1,Michael Oliver,Match Report,,18.0,2.0,10.0,1.0,11.0,2.0,18.7,0.0,0,0.4,2023,WolverhamptonWanderers
5,2023-09-23,15:00,Matchweek 6,Sat,Away,D,1,1,Luton Town,0.6,2.1,43,10893.0,Max Kilman,4-2-3-1,Joshua Smith,Match Report,,3.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,0,0.4,2023,WolverhamptonWanderers
6,2023-09-30,15:00,Matchweek 7,Sat,Home,W,2,1,Manchester City,0.4,0.9,32,31415.0,Max Kilman,3-4-3,Craig Pawson,Match Report,,6.0,2.0,5.0,1.0,3.0,1.0,11.4,0.0,0,0.6,2023,WolverhamptonWanderers
7,2023-10-08,14:00,Matchweek 8,Sun,Home,D,1,1,Aston Villa,1.7,1.6,47,31425.0,Max Kilman,3-4-3,Robert Jones,Match Report,,13.0,2.0,10.0,1.0,8.0,3.0,16.0,0.0,0,-0.7,2023,WolverhamptonWanderers
8,2023-10-21,15:00,Matchweek 9,Sat,Away,W,2,1,Bournemouth,2.4,0.6,65,11175.0,Max Kilman,3-4-3,Paul Tierney,Match Report,,37.0,4.0,26.0,4.0,21.0,7.0,16.2,0.0,0,-0.4,2023,WolverhamptonWanderers
9,2023-10-28,17:30,Matchweek 10,Sat,Home,D,2,2,Newcastle Utd,0.9,2.2,43,31584.0,Max Kilman,4-4-2,Anthony Taylor,Match Report,,18.0,4.0,11.0,1.0,11.0,6.0,17.2,1.0,0,1.1,2023,WolverhamptonWanderers
10,2023-11-04,15:00,Matchweek 11,Sat,Away,L,1,2,Sheffield Utd,1.2,1.0,61,29454.0,Max Kilman,4-4-1-1,Robert Jones,Match Report,,19.0,2.0,12.0,2.0,10.0,3.0,17.5,1.0,0,-0.2,2023,WolverhamptonWanderers
11,2023-11-11,12:30,Matchweek 12,Sat,Home,W,2,1,Tottenham,2.1,0.7,42,31642.0,Max Kilman,3-5-2,Tim Robinson,Match Report,,28.0,4.0,14.0,3.0,17.0,4.0,18.5,0.0,0,-0.1,2023,WolverhamptonWanderers
12,2023-11-27,20:00,Matchweek 13,Mon,Away,L,2,3,Fulham,1.4,2.9,40,24366.0,Max Kilman,3-5-2,Michael Salisbury,Match Report,,15.0,3.0,12.0,1.0,9.0,5.0,16.6,0.0,1,0.4,2023,WolverhamptonWanderers
13,2023-12-02,15:00,Matchweek 14,Sat,Away,L,1,2,Arsenal,0.7,2.8,43,60262.0,Max Kilman,3-5-2,Peter Bankes,Match Report,,10.0,1.0,5.0,0.0,6.0,3.0,10.8,0.0,0,0.3,2023,WolverhamptonWanderers
14,2023-12-05,19:30,Matchweek 15,Tue,Home,W,1,0,Burnley,0.8,0.9,51,30439.0,Max Kilman,3-4-3,Jarred Gillett,Match Report,,14.0,2.0,6.0,2.0,7.0,4.0,15.8,1.0,0,0.2,2023,WolverhamptonWanderers
