,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
22,2024-02-10,12:30,Matchweek 24,Sat,Home,W,2,0,Everton,1.6,0.3,72,52187.0,Rúben Dias,4-1-4-1,John Brooks,Match Report,,35.0,3.0,27.0,1.0,19.0,3.0,17.4,0.0,0,0.4,2023,ManchesterCity
23,2024-02-17,17:30,Matchweek 25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70,52178.0,Kyle Walker,4-1-4-1,Andy Madley,Match Report,,54.0,1.0,43.0,0.0,31.0,5.0,15.9,1.0,0,-1.6,2023,ManchesterCity
24,2024-02-20,19:30,Matchweek 18,Tue,Home,W,1,0,Brentford,2.3,0.4,70,52247.0,Kyle Walker,4-2-3-1,Darren England,Match Report,,45.0,2.0,38.0,2.0,25.0,10.0,17.6,0.0,0,-1.3,2023,ManchesterCity
25,2024-02-24,17:30,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1.6,0.9,62,11184.0,Rúben Dias,3-2-4-1,Jarred Gillett,Match Report,,28.0,1.0,21.0,0.0,15.0,6.0,15.5,1.0,0,-0.6,2023,ManchesterCity
26,2024-03-03,15:30,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3.3,0.2,73,53514.0,Kyle Walker,3-2-4-1,Andy Madley,Match Report,,50.0,6.0,44.0,5.0,27.0,8.0,17.7,1.0,0,-0.3,2023,ManchesterCity
27,2024-03-10,15:45,Matchweek 28,Sun,Away,D,1,1,Liverpool,1.6,2.7,47,59947.0,Kyle Walker,3-2-4-1,Michael Oliver,Match Report,,19.0,2.0,15.0,1.0,10.0,6.0,18.6,0.0,0,-0.6,2023,ManchesterCity
28,2024-03-31,16:30,Matchweek 30,Sun,Home,D,0,0,Arsenal,1.0,0.7,72,52178.0,Kevin De Bruyne,4-1-4-1,Anthony Taylor,Match Report,,24.0,0.0,18.0,0.0,12.0,1.0,14.2,0.0,0,-1.0,2023,ManchesterCity
29,2024-04-03,20:15,Matchweek 31,Wed,Home,W,4,1,Aston Villa,3.4,0.8,67,53422.0,Rúben Dias,4-2-3-1,Darren England,Match Report,,45.0,6.0,35.0,3.0,25.0,11.0,15.9,2.0,0,0.6,2023,ManchesterCity
30,2024-04-06,12:30,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,1.9,1.1,75,25132.0,Kevin De Bruyne,3-2-4-1,Paul Tierney,Match Report,,36.0,8.0,32.0,8.0,18.0,8.0,16.1,0.0,0,2.1,2023,ManchesterCity
31,2024-04-13,15:00,Matchweek 33,Sat,Home,W,5,1,Luton Town,4.2,0.5,73,52149.0,Kevin De Bruyne,4-2-3-1,John Brooks,Match Report,,67.0,8.0,50.0,6.0,36.0,12.0,16.9,0.0,1,-0.4,2023,ManchesterCity
32,2024-04-25,20:00,Matchweek 29,Thu,Away,W,4,0,Brighton,1.4,0.6,64,31596.0,Kyle Walker,4-1-4-1,Jarred Gillett,Match Report,,20.0,6.0,14.0,4.0,14.0,6.0,17.0,1.0,0,2.6,2023,ManchesterCity
33,2024-04-28,16:30,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,0.9,1.9,66,29677.0,Kyle Walker,4-1-4-1,Simon Hooper,Match Report,,20.0,4.0,17.0,3.0,11.0,5.0,18.7,1.0,0,1.1,2023,ManchesterCity
34,2024-05-04,17:30,Matchweek 36,Sat,Home,W,5,1,Wolves,3.7,0.3,58,52439.0,Kyle Walker,4-2-3-1,Craig Pawson,Match Report,,35.0,9.0,25.0,7.0,18.0,10.0,15.3,0.0,2,0.9,2023,ManchesterCity
35,2024-05-11,12:30,Matchweek 37,Sat,Away,W,4,0,Fulham,3.2,0.1,64,24418.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,30.0,8.0,28.0,6.0,15.0,8.0,17.6,0.0,1,0.6,2023,ManchesterCity
36,2024-05-14,20:00,Matchweek 34,Tue,Away,W,2,0,Tottenham,2.4,1.7,47,61065.0,Kyle Walker,4-2-3-1,Chris Kavanagh,Match Report,,13.0,4.0,11.0,3.0,7.0,4.0,14.5,0.0,1,-0.6,2023,ManchesterCity
37,2024-05-19,16:00,Matchweek 38,Sun,Home,W,3,1,West Ham,1.9,0.4,71,55097.0,Kyle Walker,4-1-4-1,John Brooks,Match Report,,48.0,6.0,36.0,5.0,28.0,12.0,17.9,2.0,0,1.1,2023,ManchesterCity
0,2023-08-12,12:30,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,0.8,1.2,78,59984.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,30.0,4.0,28.0,3.0,15.0,7.0,19.1,0.0,0,1.2,2023,Arsenal
1,2023-08-21,20:00,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,2.0,1.0,53,24189.0,Martin Ødegaard,4-3-3,David Coote,Match Report,,26.0,2.0,17.0,0.0,13.0,2.0,16.4,0.0,1,-1.2,2023,Arsenal
2,2023-08-26,15:00,Matchweek 3,Sat,Home,D,2,2,Fulham,3.2,0.6,71,59961.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,34.0,3.0,27.0,2.0,18.0,9.0,13.8,0.0,1,-1.4,2023,Arsenal
3,2023-09-03,16:30,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,2.3,0.9,55,60192.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,31.0,6.0,23.0,3.0,17.0,5.0,15.0,0.0,0,0.7,2023,Arsenal
4,2023-09-17,16:30,Matchweek 5,Sun,Away,W,1,0,Everton,1.0,0.3,74,39217.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,,22.0,2.0,15.0,2.0,13.0,4.0,17.4,0.0,0,0.0,2023,Arsenal
5,2023-09-24,14:00,Matchweek 6,Sun,Home,D,2,2,Tottenham,1.8,1.4,47,60156.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,21.0,1.0,13.0,0.0,12.0,4.0,16.9,0.0,1,-1.2,2023,Arsenal
